x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
75849,26326,18306,0,0,0,0,0,50
75106,24633,16900,0,0,0,0,0,50
75853,26725,17510,0,0,0,0,0,50
75245,26517,15888,0,0,0,0,0,50
75768,26518,15530,0,0,0,0,0,50
76426,26341,19041,0,0,0,0,0,50
75904,26611,17832,0,0,0,0,0,50
76411,26663,17276,0,0,0,0,0,50
75835,26505,17452,0,0,0,0,0,50
75471,26572,18048,0,0,0,0,0,50
75678,26605,17741,0,0,0,0,0,50
75970,26250,18497,0,0,0,0,0,50
76562,26057,19946,0,0,0,0,0,50
75415,26617,18842,0,0,0,0,0,50
76091,26475,17796,0,0,0,0,0,50
74981,24406,16521,0,0,0,0,0,50
76597,25476,18224,0,0,0,0,0,50
75313,24550,16731,0,0,0,0,0,50
75883,25373,19171,0,0,0,0,0,50
75958,26127,18432,0,0,0,0,0,50
75379,25079,16587,0,0,0,0,0,50
75653,26298,18503,0,0,0,0,0,50
75761,25661,18371,0,0,0,0,0,50
75156,24642,16906,0,0,0,0,0,50
75582,24719,17184,0,0,0,0,0,50
76429,25537,17959,0,0,0,0,0,50
75303,27653,17940,0,0,0,0,0,50
76827,25397,18619,0,0,0,0,0,50
74735,24650,16704,0,0,0,0,0,50
76857,25990,19931,0,0,0,0,0,50
75180,25750,17984,0,0,0,0,0,50
75779,26444,18240,0,0,0,0,0,50
75719,26065,17520,0,0,0,0,0,50
75718,27545,17644,0,0,0,0,0,50
75738,26897,17542,0,0,0,0,0,50
75882,26185,17676,0,0,0,0,0,50
75822,26144,19978,0,0,0,0,0,50
76252,26284,19722,0,0,0,0,0,50
75617,26386,19905,0,0,0,0,0,50
75964,27382,17868,0,0,0,0,0,50
75934,26681,18970,0,0,0,0,0,50
75213,24583,16741,0,0,0,0,0,50
75513,27127,15963,0,0,0,0,0,50
74878,24284,16848,0,0,0,0,0,50
75119,27667,18077,0,0,0,0,0,50
75662,26417,18101,0,0,0,0,0,50
76588,25488,18007,0,0,0,0,0,50
75474,26316,18451,0,0,0,0,0,50
74862,24112,16948,0,0,0,0,0,50
75434,27169,16471,0,0,0,0,0,50
74725,24205,16966,0,0,0,0,0,50
75450,24541,17269,0,0,0,0,0,50
75545,26752,17736,0,0,0,0,0,50
76005,25839,18767,0,0,0,0,0,50
75156,27168,17241,0,0,0,0,0,50
75035,24718,16940,0,0,0,0,0,50
75165,26756,18097,0,0,0,0,0,50
75412,26415,17851,0,0,0,0,0,50
76234,25997,18794,0,0,0,0,0,50
75368,26938,17463,0,0,0,0,0,50
75828,26282,18403,0,0,0,0,0,50
75704,24400,16876,0,0,0,0,0,50
75859,27481,17538,0,0,0,0,0,50
75802,26680,17541,0,0,0,0,0,50
75250,26303,16023,0,0,0,0,0,50
75512,27695,18184,0,0,0,0,0,50
75815,26376,17733,0,0,0,0,0,50
75161,24596,16926,0,0,0,0,0,50
76122,26320,18100,0,0,0,0,0,50
75935,25699,19078,0,0,0,0,0,50
76341,26763,17692,0,0,0,0,0,50
76486,26484,19370,0,0,0,0,0,50
75645,25717,18373,0,0,0,0,0,50
75282,25858,17220,0,0,0,0,0,50
75605,26370,18189,0,0,0,0,0,50
76128,26489,19591,0,0,0,0,0,50
74756,26190,16591,0,0,0,0,0,50
76022,26016,19667,0,0,0,0,0,50
75556,26588,16932,0,0,0,0,0,50
76078,26560,18278,0,0,0,0,0,50
75916,26323,18131,0,0,0,0,0,50
75825,26523,17993,0,0,0,0,0,50
74984,24430,16476,0,0,0,0,0,50
75384,26571,16777,0,0,0,0,0,50
76152,27616,17793,0,0,0,0,0,50
75785,26260,17315,0,0,0,0,0,50
76341,27228,18169,0,0,0,0,0,50
75766,26338,18348,0,0,0,0,0,50
75070,26108,16504,0,0,0,0,0,50
75946,26711,18355,0,0,0,0,0,50
75612,26662,18368,0,0,0,0,0,50
75691,26432,18264,0,0,0,0,0,50
75695,26526,18437,0,0,0,0,0,50
75127,26063,17847,0,0,0,0,0,50
75240,26892,16515,0,0,0,0,0,50
75844,26295,18300,0,0,0,0,0,50
75400,26799,17882,0,0,0,0,0,50
75137,26601,15649,0,0,0,0,0,50
76746,25654,18625,0,0,0,0,0,50
75744,26642,17965,0,0,0,0,0,50
75813,26405,18315,0,0,0,0,0,50
75114,24759,17188,0,0,0,0,0,50
75747,27126,17749,0,0,0,0,0,50
76420,27032,17661,0,0,0,0,0,50
76012,26149,18432,0,0,0,0,0,50
76205,27559,17678,0,0,0,0,0,50
75465,26628,17309,0,0,0,0,0,50
75584,26920,17189,0,0,0,0,0,50
75868,26047,17906,0,0,0,0,0,50
74994,24612,16994,0,0,0,0,0,50
76475,26380,19005,0,0,0,0,0,50
